x*sin(x)*sin(x)
Le point fixe = 5.563107581295341e-15
n         Trapeze         Rectangle
5         1.59216122742858         1.8389013374558139
10         1.5984844709626977         1.7218545259763145
15         1.5996349651484145         1.6818816684908255
20         1.6000361485131214         1.66172117601993
25         1.6002215784704423         1.6495696004758886
30         1.6003222368159902         1.6414455884871952
35         1.6003829071506177         1.6356314942973653
40         1.6004222750847128         1.631264788838117
45         1.6004492613150643         1.6278648290958686
50         1.600468562263524         1.625142573266248
55         1.6004828416320942         1.6229137607254789
60         1.6004937016078835         1.6210553774434868
65         1.6005021528310839         1.6194821612947163
70         1.6005088583741058         1.6181331519474802
75         1.6005142679067703         1.6169636085752532
80         1.6005186951083592         1.6159399519850621
85         1.6005223641934487         1.6150364883126989
90         1.6005254388726777         1.6142332227630791
95         1.600528040938121         1.6135143625185029
100         1.6005302625137106         1.6128672680150724
105         1.600532174323332         1.6122817033722485
